Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 2,097,152
  lm_head                 : 2,097,152
  transformer_matrices    : 1,310,784
  scalars                 : 4
  total                   : 7,602,244
Estimated FLOPs per token: 3.303053e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2154ms | tok/sec: 15,214 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.930954 | lrm: 1.00 | dt: 899ms | tok/sec: 36,450 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.682712 | lrm: 1.00 | dt: 813ms | tok/sec: 40,284 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.356075 | lrm: 1.00 | dt: 926ms | tok/sec: 35,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.053289 | lrm: 1.00 | dt: 807ms | tok/sec: 40,615 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.788616 | lrm: 1.00 | dt: 808ms | tok/sec: 40,575 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.568250 | lrm: 1.00 | dt: 911ms | tok/sec: 35,951 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.383761 | lrm: 1.00 | dt: 925ms | tok/sec: 35,413 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.217803 | lrm: 1.00 | dt: 912ms | tok/sec: 35,913 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.075221 | lrm: 1.00 | dt: 913ms | tok/sec: 35,883 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.949702 | lrm: 1.00 | dt: 929ms | tok/sec: 35,269 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.837407 | lrm: 1.00 | dt: 845ms | tok/sec: 38,787 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.743113 | lrm: 1.00 | dt: 808ms | tok/sec: 40,546 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.650439 | lrm: 1.00 | dt: 1023ms | tok/sec: 32,039 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.564678 | lrm: 1.00 | dt: 933ms | tok/sec: 35,113 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.497015 | lrm: 1.00 | dt: 803ms | tok/sec: 40,792 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.426228 | lrm: 1.00 | dt: 802ms | tok/sec: 40,867 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.366342 | lrm: 1.00 | dt: 810ms | tok/sec: 40,451 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00151 (39.7%) | loss: 4.864471 | lrm: 1.00 | dt: 809ms | tok/sec: 40,496 | mfu: 0.1% | epoch: 1 | remaining: 180s    
step 00152 (40.0%) | loss: 4.860979 | lrm: 1.00 | dt: 901ms | tok/sec: 36,352 | mfu: 0.1% | epoch: 1 | remaining: 179s    
step 00153 (40.3%) | loss: 4.856684 | lrm: 1.00 | dt: 809ms | tok/sec: 40,510 | mfu: 0.1% | epoch: 1 | remaining: 178s    
step 00154 (40.6%) | loss: 4.852335 | lrm: 1.00 | dt: 840ms | tok/sec: 38,998 | mfu: 0.1% | epoch: 1 | remaining: 177s    
step 00155 (40.9%) | loss: 4.854363 | lrm: 1.00 | dt: 914ms | tok/sec: 35,855 | mfu: 0.1% | epoch: 1 | remaining: 177s    
step 00156 (41.2%) | loss: 4.854689 | lrm: 1.00 | dt: 938ms | tok/sec: 34,950 | mfu: 0.1% | epoch: 1 | remaining: 176s    
step 00157 (41.5%) | loss: 4.852957 | lrm: 1.00 | dt: 811ms | tok/sec: 40,393 | mfu: 0.1% | epoch: 1 | remaining: 175s    
step 00158 (41.7%) | loss: 4.842862 | lrm: 1.00 | dt: 805ms | tok/sec: 40,686 | mfu: 0.1% | epoch: 1 | remaining: 174s    
step 00159 (42.0%) | loss: 4.837040 | lrm: 1.00 | dt: 886ms | tok/sec: 36,966 | mfu: 0.1% | epoch: 1 | remaining: 173s    
step 00160 (42.3%) | loss: 4.825613 | lrm: 1.00 | dt: 801ms | tok/sec: 40,918 | mfu: 0.1% | epoch: 1 | remaining: 172s    
step 00161 (42.6%) | loss: 4.832856 | lrm: 1.00 | dt: 800ms | tok/sec: 40,956 | mfu: 0.1% | epoch: 1 | remaining: 171s    
step 00162 (42.8%) | loss: 4.828804 | lrm: 1.00 | dt: 800ms | tok/sec: 40,938 | mfu: 0.1% | epoch: 1 | remaining: 171s    
step 00163 (43.1%) | loss: 4.819001 | lrm: 1.00 | dt: 823ms | tok/sec: 39,836 | mfu: 0.1% | epoch: 1 | remaining: 170s    
step 00164 (43.4%) | loss: 4.814469 | lrm: 1.00 | dt: 845ms | tok/sec: 38,767 | mfu: 0.1% | epoch: 1 | remaining: 169s    
step 00165 (43.7%) | loss: 4.806106 | lrm: 1.00 | dt: 812ms | tok/sec: 40,369 | mfu: 0.1% | epoch: 1 | remaining: 168s    
step 00166 (43.9%) | loss: 4.800077 | lrm: 1.00 | dt: 805ms | tok/sec: 40,720 | mfu: 0.1% | epoch: 1 | remaining: 167s    
step 00167 (44.2%) | loss: 4.804846 | lrm: 1.00 | dt: 801ms | tok/sec: 40,930 | mfu: 0.1% | epoch: 1 | remaining: 167s    
step 00168 (44.5%) | loss: 4.811924 | lrm: 1.00 | dt: 806ms | tok/sec: 40,647 | mfu: 0.1% | epoch: 1 | remaining: 166s    
step 00169 (44.7%) | loss: 4.801521 | lrm: 1.00 | dt: 824ms | tok/sec: 39,790 | mfu: 0.1% | epoch: 1 | remaining: 165s    
step 00170 (45.0%) | loss: 4.799267 | lrm: 1.00 | dt: 812ms | tok/sec: 40,374 | mfu: 0.1% | epoch: 1 | remaining: 164s    
step 00171 (45.3%) | loss: 4.797080 | lrm: 1.00 | dt: 922ms | tok/sec: 35,555 | mfu: 0.1% | epoch: 1 | remaining: 163s    
step 00172 (45.6%) | loss: 4.797981 | lrm: 1.00 | dt: 805ms | tok/sec: 40,683 | mfu: 0.1% | epoch: 1 | remaining: 162s    
step 00173 (45.9%) | loss: 4.789908 | lrm: 1.00 | dt: 808ms | tok/sec: 40,550 | mfu: 0.1% | epoch: 1 | remaining: 162s    
step 00174 (46.1%) | loss: 4.781126 | lrm: 1.00 | dt: 805ms | tok/sec: 40,728 | mfu: 0.1% | epoch: 1 | remaining: 161s    
step 00175 (46.4%) | loss: 4.774028 | lrm: 1.00 | dt: 806ms | tok/sec: 40,642 | mfu: 0.1% | epoch: 1 | remaining: 160s    
step 00176 (46.7%) | loss: 4.769989 | lrm: 1.00 | dt: 805ms | tok/sec: 40,712 | mfu: 0.1% | epoch: 1 | remaining: 159s    
step 00177 (46.9%) | loss: 4.771468 | lrm: 1.00 | dt: 950ms | tok/sec: 34,510 | mfu: 0.1% | epoch: 1 | remaining: 158s    
step 00178 (47.2%) | loss: 4.771309 | lrm: 1.00 | dt: 803ms | tok/sec: 40,792 | mfu: 0.1% | epoch: 1 | remaining: 157s    
step 00179 (47.5%) | loss: 4.764423 | lrm: 1.00 | dt: 801ms | tok/sec: 40,883 | mfu: 0.1% | epoch: 1 | remaining: 157s    
step 00180 (47.8%) | loss: 4.769404 | lrm: 1.00 | dt: 805ms | tok/sec: 40,719 | mfu: 0.1% | epoch: 1 | remaining: 156s    
step 00181 (48.1%) | loss: 4.764949 | lrm: 1.00 | dt: 804ms | tok/sec: 40,754 | mfu: 0.1% | epoch: 1 | remaining: 155s    
step 00182 (48.3%) | loss: 4.766372 | lrm: 1.00 | dt: 802ms | tok/sec: 40,835 | mfu: 0.1% | epoch: 1 | remaining: 154s    
step 00183 (48.6%) | loss: 4.766343 | lrm: 1.00 | dt: 802ms | tok/sec: 40,870 | mfu: 0.1% | epoch: 1 | remaining: 153s    
step 00184 (48.9%) | loss: 4.775895 | lrm: 1.00 | dt: 804ms | tok/sec: 40,755 | mfu: 0.1% | epoch: 1 | remaining: 153s    
step 00185 (49.1%) | loss: 4.773303 | lrm: 1.00 | dt: 908ms | tok/sec: 36,085 | mfu: 0.1% | epoch: 1 | remaining: 152s    
step 00186 (49.4%) | loss: 4.771643 | lrm: 1.00 | dt: 814ms | tok/sec: 40,258 | mfu: 0.1% | epoch: 1 | remaining: 151s    
step 00187 (49.7%) | loss: 4.768206 | lrm: 1.00 | dt: 948ms | tok/sec: 34,561 | mfu: 0.1% | epoch: 1 | remaining: 150s    
step 00188 (50.0%) | loss: 4.761616 | lrm: 1.00 | dt: 812ms | tok/sec: 40,333 | mfu: 0.1% | epoch: 1 | remaining: 149s    
step 00189 (50.3%) | loss: 4.757804 | lrm: 1.00 | dt: 864ms | tok/sec: 37,917 | mfu: 0.1% | epoch: 1 | remaining: 148s    
step 00190 (50.6%) | loss: 4.757176 | lrm: 1.00 | dt: 912ms | tok/sec: 35,918 | mfu: 0.1% | epoch: 1 | remaining: 147s    
step 00191 (50.9%) | loss: 4.754721 | lrm: 1.00 | dt: 806ms | tok/sec: 40,641 | mfu: 0.1% | epoch: 1 | remaining: 147s    
step 00192 (51.1%) | loss: 4.748026 | lrm: 1.00 | dt: 810ms | tok/sec: 40,469 | mfu: 0.1% | epoch: 1 | remaining: 146s    
step 00193 (51.4%) | loss: 4.747631 | lrm: 1.00 | dt: 887ms | tok/sec: 36,948 | mfu: 0.1% | epoch: 1 | remaining: 145s    
step 00194 (51.7%) | loss: 4.741959 | lrm: 1.00 | dt: 806ms | tok/sec: 40,678 | mfu: 0.1% | epoch: 1 | remaining: 144s    
step 00195 (52.0%) | loss: 4.749116 | lrm: 1.00 | dt: 807ms | tok/sec: 40,622 | mfu: 0.1% | epoch: 1 | remaining: 143s    
step 00196 (52.2%) | loss: 4.738606 | lrm: 1.00 | dt: 902ms | tok/sec: 36,342 | mfu: 0.1% | epoch: 1 | remaining: 142s    
step 00197 (52.5%) | loss: 4.732716 | lrm: 1.00 | dt: 803ms | tok/sec: 40,786 | mfu: 0.1% | epoch: 1 | remaining: 142s    
step 00198 (52.8%) | loss: 4.735074 | lrm: 1.00 | dt: 813ms | tok/sec: 40,307 | mfu: 0.1% | epoch: 1 | remaining: 141s    
step 00199 (53.1%) | loss: 4.742142 | lrm: 1.00 | dt: 805ms | tok/sec: 40,719 | mfu: 0.1% | epoch: 1 | remaining: 140s    
step 00200 (53.4%) | loss: 4.736942 | lrm: 1.00 | dt: 824ms | tok/sec: 39,745 | mfu: 0.1% | epoch: 1 | remaining: 139s    
step 00201 (53.6%) | loss: 4.729974 | lrm: 1.00 | dt: 805ms | tok/sec: 40,682 | mfu: 0.1% | epoch: 1 | remaining: 138s    
step 00202 (53.9%) | loss: 4.722453 | lrm: 1.00 | dt: 812ms | tok/sec: 40,362 | mfu: 0.1% | epoch: 1 | remaining: 137s    
step 00203 (54.2%) | loss: 4.726306 | lrm: 1.00 | dt: 920ms | tok/sec: 35,631 | mfu: 0.1% | epoch: 1 | remaining: 137s    
step 00204 (54.5%) | loss: 4.726505 | lrm: 1.00 | dt: 803ms | tok/sec: 40,806 | mfu: 0.1% | epoch: 1 | remaining: 136s    
step 00205 (54.7%) | loss: 4.723706 | lrm: 1.00 | dt: 811ms | tok/sec: 40,390 | mfu: 0.1% | epoch: 1 | remaining: 135s    
step 00206 (55.0%) | loss: 4.720092 | lrm: 1.00 | dt: 906ms | tok/sec: 36,172 | mfu: 0.1% | epoch: 1 | remaining: 134s    
step 00207 (55.3%) | loss: 4.705967 | lrm: 1.00 | dt: 813ms | tok/sec: 40,292 | mfu: 0.1% | epoch: 1 | remaining: 133s    
step 00208 (55.6%) | loss: 4.686562 | lrm: 1.00 | dt: 948ms | tok/sec: 34,547 | mfu: 0.1% | epoch: 1 | remaining: 132s    
step 00209 (55.9%) | loss: 4.700670 | lrm: 1.00 | dt: 802ms | tok/sec: 40,851 | mfu: 0.1% | epoch: 1 | remaining: 131s    
step 00210 (56.2%) | loss: 4.693070 | lrm: 1.00 | dt: 806ms | tok/sec: 40,660 | mfu: 0.1% | epoch: 1 | remaining: 131s    
step 00211 (56.4%) | loss: 4.680150 | lrm: 1.00 | dt: 807ms | tok/sec: 40,585 | mfu: 0.1% | epoch: 1 | remaining: 130s    
step 00212 (56.7%) | loss: 4.687115 | lrm: 1.00 | dt: 880ms | tok/sec: 37,248 | mfu: 0.1% | epoch: 1 | remaining: 129s    
step 00213 (57.0%) | loss: 4.687074 | lrm: 1.00 | dt: 804ms | tok/sec: 40,747 | mfu: 0.1% | epoch: 1 | remaining: 128s    
step 00214 (57.3%) | loss: 4.695054 | lrm: 1.00 | dt: 808ms | tok/sec: 40,576 | mfu: 0.1% | epoch: 1 | remaining: 127s    
step 00215 (57.5%) | loss: 4.691000 | lrm: 1.00 | dt: 817ms | tok/sec: 40,119 | mfu: 0.1% | epoch: 1 | remaining: 127s    
step 00216 (57.8%) | loss: 4.688057 | lrm: 1.00 | dt: 805ms | tok/sec: 40,708 | mfu: 0.1% | epoch: 1 | remaining: 126s    
step 00217 (58.1%) | loss: 4.684924 | lrm: 1.00 | dt: 820ms | tok/sec: 39,944 | mfu: 0.1% | epoch: 1 | remaining: 125s    
step 00218 (58.4%) | loss: 4.685765 | lrm: 1.00 | dt: 926ms | tok/sec: 35,378 | mfu: 0.1% | epoch: 1 | remaining: 124s    
step 00219 (58.7%) | loss: 4.677801 | lrm: 1.00 | dt: 813ms | tok/sec: 40,318 | mfu: 0.1% | epoch: 1 | remaining: 123s    
step 00220 (58.9%) | loss: 4.677134 | lrm: 1.00 | dt: 949ms | tok/sec: 34,518 | mfu: 0.1% | epoch: 1 | remaining: 122s    
step 00221 (59.2%) | loss: 4.674414 | lrm: 1.00 | dt: 968ms | tok/sec: 33,851 | mfu: 0.1% | epoch: 1 | remaining: 121s    
step 00222 (59.6%) | loss: 4.667189 | lrm: 1.00 | dt: 812ms | tok/sec: 40,371 | mfu: 0.1% | epoch: 1 | remaining: 120s    
step 00223 (59.8%) | loss: 4.660532 | lrm: 1.00 | dt: 818ms | tok/sec: 40,041 | mfu: 0.1% | epoch: 1 | remaining: 120s    
step 00224 (60.1%) | loss: 4.653928 | lrm: 1.00 | dt: 929ms | tok/sec: 35,255 | mfu: 0.1% | epoch: 1 | remaining: 119s    
step 00225 (60.4%) | loss: 4.649154 | lrm: 1.00 | dt: 816ms | tok/sec: 40,175 | mfu: 0.1% | epoch: 1 | remaining: 118s    
step 00226 (60.7%) | loss: 4.647287 | lrm: 1.00 | dt: 807ms | tok/sec: 40,626 | mfu: 0.1% | epoch: 1 | remaining: 117s    
step 00227 (61.0%) | loss: 4.647957 | lrm: 1.00 | dt: 806ms | tok/sec: 40,638 | mfu: 0.1% | epoch: 1 | remaining: 116s    
step 00228 (61.2%) | loss: 4.652386 | lrm: 1.00 | dt: 946ms | tok/sec: 34,632 | mfu: 0.1% | epoch: 1 | remaining: 115s    
step 00229 (61.5%) | loss: 4.654848 | lrm: 1.00 | dt: 971ms | tok/sec: 33,732 | mfu: 0.1% | epoch: 1 | remaining: 114s    
step 00230 (61.9%) | loss: 4.652307 | lrm: 1.00 | dt: 847ms | tok/sec: 38,694 | mfu: 0.1% | epoch: 1 | remaining: 114s    
step 00231 (62.2%) | loss: 4.646595 | lrm: 1.00 | dt: 889ms | tok/sec: 36,861 | mfu: 0.1% | epoch: 1 | remaining: 113s    
step 00232 (62.5%) | loss: 4.658102 | lrm: 1.00 | dt: 805ms | tok/sec: 40,687 | mfu: 0.1% | epoch: 1 | remaining: 112s    
step 00233 (62.7%) | loss: 4.653904 | lrm: 1.00 | dt: 813ms | tok/sec: 40,312 | mfu: 0.1% | epoch: 1 | remaining: 111s    
step 00234 (63.0%) | loss: 4.661096 | lrm: 1.00 | dt: 922ms | tok/sec: 35,540 | mfu: 0.1% | epoch: 1 | remaining: 110s    
step 00235 (63.3%) | loss: 4.650879 | lrm: 1.00 | dt: 813ms | tok/sec: 40,294 | mfu: 0.1% | epoch: 1 | remaining: 109s    
step 00236 (63.6%) | loss: 4.638362 | lrm: 1.00 | dt: 963ms | tok/sec: 34,021 | mfu: 0.1% | epoch: 1 | remaining: 108s    
step 00237 (63.9%) | loss: 4.627557 | lrm: 1.00 | dt: 974ms | tok/sec: 33,630 | mfu: 0.1% | epoch: 1 | remaining: 107s    
step 00238 (64.2%) | loss: 4.622309 | lrm: 1.00 | dt: 813ms | tok/sec: 40,327 | mfu: 0.1% | epoch: 1 | remaining: 107s    
step 00239 (64.5%) | loss: 4.618758 | lrm: 1.00 | dt: 931ms | tok/sec: 35,196 | mfu: 0.1% | epoch: 1 | remaining: 106s    
step 00240 (64.8%) | loss: 4.618481 | lrm: 1.00 | dt: 822ms | tok/sec: 39,878 | mfu: 0.1% | epoch: 1 | remaining: 105s    
step 00241 (65.1%) | loss: 4.607731 | lrm: 1.00 | dt: 999ms | tok/sec: 32,813 | mfu: 0.1% | epoch: 1 | remaining: 104s    
step 00242 (65.4%) | loss: 4.607058 | lrm: 0.99 | dt: 943ms | tok/sec: 34,750 | mfu: 0.1% | epoch: 1 | remaining: 103s    
step 00243 (65.7%) | loss: 4.598618 | lrm: 0.98 | dt: 833ms | tok/sec: 39,357 | mfu: 0.1% | epoch: 1 | remaining: 102s    
step 00244 (66.0%) | loss: 4.582844 | lrm: 0.97 | dt: 808ms | tok/sec: 40,572 | mfu: 0.1% | epoch: 1 | remaining: 101s    
step 00245 (66.3%) | loss: 4.582019 | lrm: 0.96 | dt: 924ms | tok/sec: 35,467 | mfu: 0.1% | epoch: 1 | remaining: 100s    
step 00246 (66.6%) | loss: 4.573139 | lrm: 0.96 | dt: 810ms | tok/sec: 40,466 | mfu: 0.1% | epoch: 1 | remaining: 99s    
step 00247 (66.8%) | loss: 4.569191 | lrm: 0.95 | dt: 829ms | tok/sec: 39,519 | mfu: 0.1% | epoch: 1 | remaining: 99s    
step 00248 (67.1%) | loss: 4.567239 | lrm: 0.94 | dt: 891ms | tok/sec: 36,768 | mfu: 0.1% | epoch: 1 | remaining: 98s    
step 00249 (67.4%) | loss: 4.561040 | lrm: 0.93 | dt: 838ms | tok/sec: 39,087 | mfu: 0.1% | epoch: 1 | remaining: 97s    
step 00250 (67.7%) | loss: 4.557602 | lrm: 0.92 | dt: 1009ms | tok/sec: 32,489 | mfu: 0.1% | epoch: 1 | remaining: 96s    
step 00251 (68.0%) | loss: 4.559338 | lrm: 0.91 | dt: 900ms | tok/sec: 36,398 | mfu: 0.1% | epoch: 1 | remaining: 95s    
step 00252 (68.3%) | loss: 4.562442 | lrm: 0.90 | dt: 810ms | tok/sec: 40,439 | mfu: 0.1% | epoch: 1 | remaining: 94s    
step 00253 (68.6%) | loss: 4.567028 | lrm: 0.90 | dt: 829ms | tok/sec: 39,546 | mfu: 0.1% | epoch: 1 | remaining: 93s    
step 00254 (68.9%) | loss: 4.560323 | lrm: 0.89 | dt: 888ms | tok/sec: 36,889 | mfu: 0.1% | epoch: 1 | remaining: 92s    
step 00255 (69.2%) | loss: 4.553430 | lrm: 0.88 | dt: 806ms | tok/sec: 40,676 | mfu: 0.1% | epoch: 1 | remaining: 92s    
step 00256 (69.4%) | loss: 4.549916 | lrm: 0.87 | dt: 827ms | tok/sec: 39,641 | mfu: 0.1% | epoch: 1 | remaining: 91s    
step 00257 (69.7%) | loss: 4.544291 | lrm: 0.87 | dt: 916ms | tok/sec: 35,782 | mfu: 0.1% | epoch: 1 | remaining: 90s    
step 00258 (70.0%) | loss: 4.538184 | lrm: 0.86 | dt: 948ms | tok/sec: 34,549 | mfu: 0.1% | epoch: 1 | remaining: 89s    
step 00259 (70.3%) | loss: 4.534929 | lrm: 0.85 | dt: 839ms | tok/sec: 39,054 | mfu: 0.1% | epoch: 1 | remaining: 88s    
step 00260 (70.6%) | loss: 4.536413 | lrm: 0.84 | dt: 909ms | tok/sec: 36,061 | mfu: 0.1% | epoch: 1 | remaining: 87s    
step 00261 (70.9%) | loss: 4.537311 | lrm: 0.83 | dt: 811ms | tok/sec: 40,418 | mfu: 0.1% | epoch: 1 | remaining: 86s    
step 00262 (71.2%) | loss: 4.526902 | lrm: 0.82 | dt: 822ms | tok/sec: 39,885 | mfu: 0.1% | epoch: 1 | remaining: 86s    
step 00263 (71.5%) | loss: 4.516206 | lrm: 0.82 | dt: 808ms | tok/sec: 40,545 | mfu: 0.1% | epoch: 1 | remaining: 85s    
step 00264 (71.7%) | loss: 4.504358 | lrm: 0.81 | dt: 904ms | tok/sec: 36,241 | mfu: 0.1% | epoch: 1 | remaining: 84s    
step 00265 (72.0%) | loss: 4.503141 | lrm: 0.80 | dt: 811ms | tok/sec: 40,412 | mfu: 0.1% | epoch: 1 | remaining: 83s    
step 00266 (72.3%) | loss: 4.490031 | lrm: 0.79 | dt: 853ms | tok/sec: 38,414 | mfu: 0.1% | epoch: 1 | remaining: 82s    
step 00267 (72.6%) | loss: 4.483693 | lrm: 0.78 | dt: 859ms | tok/sec: 38,161 | mfu: 0.1% | epoch: 1 | remaining: 81s    
step 00268 (72.9%) | loss: 4.481472 | lrm: 0.77 | dt: 799ms | tok/sec: 41,013 | mfu: 0.1% | epoch: 1 | remaining: 81s    
step 00269 (73.1%) | loss: 4.476853 | lrm: 0.77 | dt: 802ms | tok/sec: 40,879 | mfu: 0.1% | epoch: 1 | remaining: 80s    
step 00270 (73.4%) | loss: 4.486793 | lrm: 0.76 | dt: 801ms | tok/sec: 40,910 | mfu: 0.1% | epoch: 1 | remaining: 79s    
step 00271 (73.7%) | loss: 4.475348 | lrm: 0.75 | dt: 808ms | tok/sec: 40,564 | mfu: 0.1% | epoch: 1 | remaining: 78s    
step 00272 (73.9%) | loss: 4.469100 | lrm: 0.74 | dt: 809ms | tok/sec: 40,520 | mfu: 0.1% | epoch: 1 | remaining: 77s    
step 00273 (74.2%) | loss: 4.460356 | lrm: 0.74 | dt: 803ms | tok/sec: 40,782 | mfu: 0.1% | epoch: 1 | remaining: 77s    
step 00274 (74.5%) | loss: 4.446237 | lrm: 0.73 | dt: 801ms | tok/sec: 40,900 | mfu: 0.1% | epoch: 1 | remaining: 76s    
step 00275 (74.8%) | loss: 4.449258 | lrm: 0.72 | dt: 807ms | tok/sec: 40,625 | mfu: 0.1% | epoch: 1 | remaining: 75s    
step 00276 (75.0%) | loss: 4.442170 | lrm: 0.71 | dt: 812ms | tok/sec: 40,375 | mfu: 0.1% | epoch: 1 | remaining: 74s    
step 00277 (75.3%) | loss: 4.438455 | lrm: 0.71 | dt: 820ms | tok/sec: 39,953 | mfu: 0.1% | epoch: 1 | remaining: 73s    
step 00278 (75.6%) | loss: 4.430197 | lrm: 0.70 | dt: 940ms | tok/sec: 34,853 | mfu: 0.1% | epoch: 1 | remaining: 72s    
step 00279 (75.9%) | loss: 4.424259 | lrm: 0.69 | dt: 804ms | tok/sec: 40,757 | mfu: 0.1% | epoch: 1 | remaining: 72s    
step 00280 (76.1%) | loss: 4.425169 | lrm: 0.68 | dt: 813ms | tok/sec: 40,289 | mfu: 0.1% | epoch: 1 | remaining: 71s    
step 00281 (76.4%) | loss: 4.413056 | lrm: 0.67 | dt: 804ms | tok/sec: 40,738 | mfu: 0.1% | epoch: 1 | remaining: 70s    
step 00282 (76.7%) | loss: 4.419131 | lrm: 0.67 | dt: 803ms | tok/sec: 40,832 | mfu: 0.1% | epoch: 1 | remaining: 69s    
step 00283 (77.0%) | loss: 4.415414 | lrm: 0.66 | dt: 810ms | tok/sec: 40,462 | mfu: 0.1% | epoch: 1 | remaining: 68s    
step 00284 (77.2%) | loss: 4.413310 | lrm: 0.65 | dt: 841ms | tok/sec: 38,958 | mfu: 0.1% | epoch: 1 | remaining: 67s    
step 00285 (77.5%) | loss: 4.394128 | lrm: 0.64 | dt: 810ms | tok/sec: 40,442 | mfu: 0.1% | epoch: 1 | remaining: 67s    
step 00286 (77.8%) | loss: 4.394409 | lrm: 0.64 | dt: 851ms | tok/sec: 38,489 | mfu: 0.1% | epoch: 1 | remaining: 66s    
step 00287 (78.1%) | loss: 4.372883 | lrm: 0.63 | dt: 829ms | tok/sec: 39,531 | mfu: 0.1% | epoch: 1 | remaining: 65s    
step 00288 (78.3%) | loss: 4.375079 | lrm: 0.62 | dt: 893ms | tok/sec: 36,708 | mfu: 0.1% | epoch: 1 | remaining: 64s    
step 00289 (78.6%) | loss: 4.373442 | lrm: 0.61 | dt: 804ms | tok/sec: 40,763 | mfu: 0.1% | epoch: 1 | remaining: 63s    
step 00290 (78.9%) | loss: 4.370953 | lrm: 0.60 | dt: 824ms | tok/sec: 39,770 | mfu: 0.1% | epoch: 1 | remaining: 62s    
step 00291 (79.2%) | loss: 4.363644 | lrm: 0.60 | dt: 967ms | tok/sec: 33,889 | mfu: 0.1% | epoch: 1 | remaining: 62s    
step 00292 (79.5%) | loss: 4.356623 | lrm: 0.59 | dt: 805ms | tok/sec: 40,716 | mfu: 0.1% | epoch: 1 | remaining: 61s    
step 00293 (79.8%) | loss: 4.346072 | lrm: 0.58 | dt: 938ms | tok/sec: 34,949 | mfu: 0.1% | epoch: 1 | remaining: 60s    
step 00294 (80.1%) | loss: 4.342077 | lrm: 0.57 | dt: 803ms | tok/sec: 40,784 | mfu: 0.1% | epoch: 1 | remaining: 59s    
step 00295 (80.3%) | loss: 4.343477 | lrm: 0.56 | dt: 812ms | tok/sec: 40,346 | mfu: 0.1% | epoch: 1 | remaining: 58s    
step 00296 (80.6%) | loss: 4.338526 | lrm: 0.55 | dt: 951ms | tok/sec: 34,473 | mfu: 0.1% | epoch: 1 | remaining: 57s    
step 00297 (80.9%) | loss: 4.344117 | lrm: 0.54 | dt: 910ms | tok/sec: 36,009 | mfu: 0.1% | epoch: 1 | remaining: 56s    
step 00298 (81.2%) | loss: 4.339554 | lrm: 0.54 | dt: 812ms | tok/sec: 40,372 | mfu: 0.1% | epoch: 1 | remaining: 55s    
step 00299 (81.5%) | loss: 4.342509 | lrm: 0.53 | dt: 838ms | tok/sec: 39,095 | mfu: 0.1% | epoch: 1 | remaining: 55s    
step 00300 (81.8%) | loss: 4.337284 | lrm: 0.52 | dt: 965ms | tok/sec: 33,942 | mfu: 0.1% | epoch: 1 | remaining: 54s    
step 00301 (82.1%) | loss: 4.325832 | lrm: 0.51 | dt: 932ms | tok/sec: 35,177 | mfu: 0.1% | epoch: 1 | remaining: 53s    
step 00302 (82.4%) | loss: 4.327062 | lrm: 0.50 | dt: 817ms | tok/sec: 40,101 | mfu: 0.1% | epoch: 1 | remaining: 52s    
step 00303 (82.7%) | loss: 4.327634 | lrm: 0.49 | dt: 919ms | tok/sec: 35,667 | mfu: 0.1% | epoch: 1 | remaining: 51s    
step 00304 (83.0%) | loss: 4.321885 | lrm: 0.49 | dt: 966ms | tok/sec: 33,924 | mfu: 0.1% | epoch: 1 | remaining: 50s    
step 00305 (83.3%) | loss: 4.313260 | lrm: 0.48 | dt: 915ms | tok/sec: 35,828 | mfu: 0.1% | epoch: 1 | remaining: 49s    
